codigo_ibge,municipio,latitude,longitude,bioma_predominante,corede,regiao_funcional
4312203,Maximiliano de Almeida,-27.6325,-51.802,Mata Atlântica,Nordeste,RF9
4311718,Maçambará,-29.1445,-56.0674,Pampa,Fronteira Oeste,RF6
4312252,Minas do Leão,-30.1346,-52.0423,Pampa,Centro-Sul,RF1
4312302,Miraguaí,-27.497,-53.6891,Mata Atlântica,Celeiro,RF7
4312351,Montauri,-28.6462,-52.0767,Mata Atlântica,Serra,RF3
4312377,Monte Alegre dos Campos,-28.6805,-50.7834,Mata Atlântica,Campos de Cima da Serra,RF3
4312385,Monte Belo do Sul,-29.1607,-51.6333,Mata Atlântica,Serra,RF3
4312401,Montenegro,-29.6824,-51.4679,Pampa,Vale do Caí,RF1
4312427,Mormaço,-28.6968,-52.6999,Mata Atlântica,Alto da Serra do Botucaraí,RF9
4312443,Morrinhos do Sul,-29.3578,-49.9328,Mata Atlântica,Litoral,RF4
4312450,Morro Redondo,-31.5887,-52.6261,Pampa,Sul,RF5
4312476,Morro Reuter,-29.5379,-51.0811,Mata Atlântica,Paranhana Encosta da Serra,RF1
4312500,Mostardas,-31.1054,-50.9167,Pampa,Litoral,RF4
4312617,Muitos Capões,-28.3132,-51.1836,Mata Atlântica,Campos de Cima da Serra,RF3
4312625,Muliterno,-28.3253,-51.7697,Mata Atlântica,Produção,RF9
4312609,Muçum,-29.163,-51.8714,Mata Atlântica,Vale do Taquari,RF2
4312674,Nicolau Vergueiro,-28.5298,-52.4676,Mata Atlântica,Alto da Serra do Botucaraí,RF9
4312708,Nonoai,-27.3689,-52.7756,Mata Atlântica,Médio Alto Uruguai,RF9
4312757,Nova Alvorada,-28.6822,-52.1631,Mata Atlântica,Produção,RF9
4312807,Nova Araçá,-28.6537,-51.7458,Mata Atlântica,Serra,RF3
4312906,Nova Bassano,-28.7291,-51.7072,Mata Atlântica,Serra,RF3
4312955,Nova Boa Vista,-27.9926,-52.9784,Mata Atlântica,Rio da Várzea,RF9
4313003,Nova Bréscia,-29.2182,-52.0319,Mata Atlântica,Vale do Taquari,RF2
4313011,Nova Candelária,-27.6137,-54.1074,Mata Atlântica,Fronteira Noroeste,RF7
4313037,Nova Esperança do Sul,-29.4066,-54.8293,Pampa,Vale do Jaguari,RF8
4313060,Nova Hartz,-29.5808,-50.9051,Mata Atlântica,Vale do Rio dos Sinos,RF1
4313102,Nova Palma,-29.471,-53.4689,Mata Atlântica,Central,RF8
4313201,Nova Petrópolis,-29.3741,-51.1136,Mata Atlântica,Hortênsias,RF3
4313300,Nova Prata,-28.7799,-51.6113,Mata Atlântica,Serra,RF3
4313086,Nova Pádua,-29.0275,-51.3098,Mata Atlântica,Serra,RF3
4313334,Nova Ramada,-28.0667,-53.6992,Pampa,Noroeste Colonial,RF7
4313359,Nova Roma do Sul,-28.9882,-51.4095,Mata Atlântica,Serra,RF3
4313375,Nova Santa Rita,-29.8525,-51.2837,Pampa,Vale do Rio dos Sinos,RF1
4313490,Novo Barreiro,-27.9077,-53.1103,Mata Atlântica,Rio da Várzea,RF9
4313391,Novo Cabrais,-29.7338,-52.9489,Pampa,Jacuí Centro,RF8
4313409,Novo Hamburgo,-29.6875,-51.1328,Mata Atlântica,Vale do Rio dos Sinos,RF1
4313425,Novo Machado,-27.5765,-54.5036,Mata Atlântica,Fronteira Noroeste,RF7
4313441,Novo Tiradentes,-27.5649,-53.1837,Mata Atlântica,Médio Alto Uruguai,RF9
4313466,Novo Xingu,-27.749,-53.0639,Mata Atlântica,Rio da Várzea,RF9
4312658,Não-Me-Toque,-28.4548,-52.8182,Mata Atlântica,Alto Jacuí,RF8
4313508,Osório,-29.8881,-50.2667,Pampa,Litoral,RF4
4313607,Paim Filho,-27.7075,-51.763,Mata Atlântica,Nordeste,RF9
4313656,Palmares do Sul,-30.2535,-50.5103,Pampa,Litoral,RF4
4313706,Palmeira das Missões,-27.9007,-53.3134,Pampa,Rio da Várzea,RF9
4313805,Palmitinho,-27.3596,-53.558,Mata Atlântica,Médio Alto Uruguai,RF9
4313904,Panambi,-28.2833,-53.5023,Mata Atlântica,Noroeste Colonial,RF7
4313953,Pantano Grande,-30.1902,-52.3729,Pampa,Vale do Rio Pardo,RF2
4314001,Paraí,-28.5964,-51.7896,Mata Atlântica,Serra,RF3
4314027,Paraíso do Sul,-29.6717,-53.144,Mata Atlântica,Jacuí Centro,RF8
4314035,Pareci Novo,-29.6365,-51.3974,Mata Atlântica,Vale do Caí,RF1
4314050,Parobé,-29.6243,-50.8312,Mata Atlântica,Paranhana Encosta da Serra,RF1
4314068,Passa Sete,-29.4577,-52.9599,Mata Atlântica,Vale do Rio Pardo,RF2
4314100,Passo Fundo,-28.2576,-52.4091,Pampa,Produção,RF9
4314076,Passo do Sobrado,-29.748,-52.2748,Pampa,Vale do Rio Pardo,RF2
4314134,Paulo Bento,-27.7051,-52.4169,Mata Atlântica,Norte,RF9
4314159,Paverama,-29.5486,-51.7339,Mata Atlântica,Vale do Taquari,RF2
4314175,Pedras Altas,-31.7365,-53.5814,Pampa,Sul,RF5
4314209,Pedro Osório,-31.8642,-52.8184,Pampa,Sul,RF5
4314308,Pejuçara,-28.4283,-53.6579,Mata Atlântica,Noroeste Colonial,RF7
4314407,Pelotas,-31.7649,-52.3371,Pampa,Sul,RF5
4314423,Picada Café,-29.4464,-51.1367,Mata Atlântica,Hortênsias,RF3
4314456,Pinhal,-27.508,-53.2082,Mata Atlântica,Médio Alto Uruguai,RF9
4314472,Pinhal Grande,-29.345,-53.3206,Pampa,Central,RF8
4314464,Pinhal da Serra,-27.8751,-51.1673,Mata Atlântica,Campos de Cima da Serra,RF3
4314498,Pinheirinho do Vale,-27.2109,-53.608,Mata Atlântica,Médio Alto Uruguai,RF9
4314506,Pinheiro Machado,-31.5794,-53.3798,Pampa,Sul,RF5
4314548,Pinto Bandeira,-29.0975,-51.4503,Mata Atlântica,Serra,RF3
4314555,Pirapó,-28.0439,-55.2001,Pampa,Missões,RF7
4314605,Piratini,-31.4473,-53.0973,Pampa,Sul,RF5
4314704,Planalto,-27.3297,-53.0575,Mata Atlântica,Médio Alto Uruguai,RF9
