codigo_ibge,municipio,latitude,longitude,bioma_predominante,corede,regiao_funcional
4322905,Viadutos,-27.5716,-52.0211,Mata Atlântica,Norte,RF9
4323002,Viamão,-30.0819,-51.0194,Pampa,Metropolitano Delta do Jacuí,RF1
4323101,Vicente Dutra,-27.1607,-53.4022,Mata Atlântica,Médio Alto Uruguai,RF9
4323200,Victor Graeff,-28.5632,-52.7495,Mata Atlântica,Alto da Serra do Botucaraí,RF9
4323309,Vila Flores,-28.8598,-51.5504,Mata Atlântica,Serra,RF3
4323358,Vila Lângaro,-28.1062,-52.1438,Mata Atlântica,Nordeste,RF9
4323408,Vila Maria,-28.5359,-52.1486,Mata Atlântica,Produção,RF9
4323457,Vila Nova do Sul,-30.3461,-53.876,Pampa,Jacuí Centro,RF8
4323507,Vista Alegre,-27.3686,-53.4919,Mata Atlântica,Médio Alto Uruguai,RF9
4323606,Vista Alegre do Prata,-28.8052,-51.7947,Mata Atlântica,Serra,RF3
4323705,Vista Gaúcha,-27.2902,-53.6974,Mata Atlântica,Celeiro,RF7
4323754,Vitória das Missões,-28.3516,-54.504,Mata Atlântica,Missões,RF7
4323770,Westfália,-29.4263,-51.7645,Mata Atlântica,Vale do Taquari,RF2
4323804,Xangri-lá,-29.8065,-50.0519,Mata Atlântica,Litoral,RF4
4300059,Água Santa,-28.1672,-52.031,Mata Atlântica,Nordeste,RF9
4301552,Áurea,-27.6936,-52.0505,Mata Atlântica,Norte,RF9
